Bin ID	GTDB Taxonomy	NCBI Taxonomy	Completeness	Contamination	N50 (bp)	MAG size (bp)	GC (%)	No. of genes	classification	Relative Evolutionary Divergence	Phylum	Class	Order	Family	Genus	bin_name
VLC_021	Enterococcus_C sp.	Enterococcus sp.	99.84	0.71	51225	2093463	0.4	2115	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__	0.90095	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Tuerk_Half_DAS_TuerkHalves_bin.360
VLC_022	Citrobacter portucalensis	Citrobacter portucalensis	99.82	0.54	15342	3877956	0.53	3951	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter portucalensis	N/A	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Birg_Half_DAS_BirgitHalves_bin.11
VLC_023	Shewanella sp.	Shewanella sp.	99.81	2.74	76724	4653781	0.47	4139	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__	0.99861	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	old_originals_METABAT__334-contigs
VLC_024	Limnobaculum xujianqingii 	Limnobaculum xujianqingii	99.77	0.07	35203	3572954	0.45	3263	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Limnobaculum;s__Limnobaculum xujianqingii	N/A	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Limnobaculum	Tuerk_Half_DAS_TuerkHalves_bin.101
VLC_025	Aestuariibaculum sp.	Aestuariibaculum sp.	99.55	0.01	22158	2826470	0.36	2506	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aestuariibaculum;s__	0.97296	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aestuariibaculum	Tuerk_Half_DAS_TuerkHalves_bin.122
VLC_026	UBA660 sp.	Bacilli bacterium	99.51	0.44	38930	1531152	0.29	1581	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	0.73221	Firmicutes	Bacilli	RF39	UBA660		crabs_bin.363
VLC_027	Pseudorhodobacter sp.	Pseudorhodobacter sp.	99.48	0.69	66558	3464994	0.59	3340	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudorhodobacter;s__	0.97308	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Tuerk_Half_DAS_TuerkHalves_bin.20
VLC_028	UJ101 sp.	Flavobacteriales bacterium	99.35	0.05	81435	2287072	0.33	2280	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__	0.94913	Bacteroidota	Bacteroidia	Flavobacteriales	UJ101	UJ101	old_originals_METABAT__248-contigs
VLC_029	Jhaorihella sp.	Jhaorihella sp.	99.12	4.17	64995	3859280	0.65	3789	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jhaorihella;s__	0.96785	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jhaorihella	crabs_bin.500_sub
VLC_030	Mangrovibacterium sp.	Mangrovibacterium sp.	99.02	0.02	79325	2568125	0.38	2141	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__	0.91701	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	Tuerk_Half_DAS_TuerkHalves_bin.438
VLC_031	Cumulibacter sp.	Cumulibacter sp.	98.77	4.26	66537	3923282	0.63	3823	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Antricoccaceae;g__Cumulibacter;s__	0.99828	Actinobacteriota	Actinomycetia	Mycobacteriales	Antricoccaceae	Cumulibacter	old_originals_METABAT__307-contigs
VLC_032	Dysgonomonas sp.	Dysgonomonas sp.	98.66	7.88	23723	4279992	0.37	4088	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__	0.96607	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	old_originals_METABAT__368-contigs
VLC_033	Mycobacterium sp.	Mycobacterium sp.	98.65	1.7	41632	3372817	0.67	3188	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	0.98809	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	crabs_bin.278
VLC_034	Lachnospiraceae sp.	Lachnospiraceae bacterium	98.62	0.76	58811	2978259	0.45	2753	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	0.87653	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		Tuerk_Half_DAS_TuerkHalves_bin.379
VLC_035	UBA10566 sp.	Bacteroidales bacterium	98.46	3.65	22950	2615557	0.32	2545	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__UBA10566;s__	0.92265	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA10566	old_originals_METABAT__108-contigs
VLC_036	Bacteroidales sp.	Bacteroidales bacterium	98.42	2.27	36828	2581534	0.4	2212	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0.7441	Bacteroidota	Bacteroidia	Bacteroidales			crabs_bin.266
VLC_037	Fimivivens sp.	Fimivivens sp.	98.34	0.16	243125	1977360	0.49	1896	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__	0.93691	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Fimivivens	Birg_Half_DAS_BirgitHalves_nocov.2
VLC_038	Marinicella pacifica	Marinicella pacifica	98.13	0.1	399837	2871122	0.45	2579	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__Marinicella pacifica	N/A	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Marinicellaceae	Marinicella	crabs_bin.389
VLC_039	Anaerorhabdus sp.	Anaerorhabdus sp.	98.03	0	50830	1441107	0.35	1430	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__	0.9044	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Anaerorhabdus	Tuerk_Half_DAS_TuerkHalves_bin.177
VLC_040	Tetrasphaera sp.	Tetrasphaera sp.	97.92	0.76	55004	3033711	0.67	2945	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera;s__	0.88959	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae	Tetrasphaera	Tuerk_Half_DAS_TuerkHalves_bin.13
VLC_041	Anaerorhabdus sp.	Anaerorhabdus sp.	97.73	2.58	55137	2639509	0.33	2828	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__	0.94024	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Anaerorhabdus	Tuerk_Half_DAS_TuerkHalves_bin.100
VLC_042	Aminipila sp.	Aminipila sp.	97.72	0.44	48364	3035754	0.35	2916	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Aminipila;s__	0.9	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Aminipila	Tuerk_Half_DAS_TuerkHalves_bin.68
VLC_043	Parahaliea sp.	Parahaliea sp.	97.67	0	132787	3097080	0.52	2753	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Parahaliea;s__	0.9524	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea	crabs_bin.374
VLC_044	Lachnospiraceae sp.	Lachnospiraceae bacterium	97.56	0.4	107442	3210331	0.41	2904	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	0.88745	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		old_originals_METABAT__381-contigs
VLC_045	GCA-002748415 sp.	Actinomycetales bacterium	97.46	2.18	96063	5307799	0.69	4577	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__GCA-002748415;g__;s__	0.7633	Actinobacteriota	Actinomycetia	Actinomycetales	GCA-002748415		Tuerk_Half_DAS_TuerkHalves_bin.363
VLC_046	Lachnospirales sp.	Lachnospirales bacterium	97.4	3.71	18575	2366842	0.29	2200	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	0.69792	Firmicutes_A	Clostridia	Lachnospirales			Tuerk_Half_DAS_TuerkHalves_bin.314
VLC_047	Shewanella algae 	Shewanella algae	97.36	2.62	17112	4717750	0.53	4536	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella algae	N/A	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Birg_nocov.35
VLC_048	CADEDH01 sp.	Acidimicrobiales bacterium	97.29	4.92	65495	4700912	0.71	4273	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__SZUA-35;g__CADEDH01;s__	0.88012	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	SZUA-35	CADEDH01	crabs_bin.53
VLC_049	UBA2834 sp.	Candidatus Saccharimonadales bacterium	97.23	0.92	185233	948797	0.47	976	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanosyncoccaceae;g__UBA2834;s__	0.90503	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	UBA2834	old_originals_CRABS_nocov.155
VLC_050	UPXZ01 sp.	Paludibacteraceae bacterium	97.2	0.2	43019	2813850	0.39	2273	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__	0.94683	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	UPXZ01	crabs_bin.210
VLC_051	Bacteroidales sp.	Bacteroidales bacterium	97.16	2.81	34842	3199891	0.4	2651	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0.74278	Bacteroidota	Bacteroidia	Bacteroidales			old_originals_METABAT__402-contigs
VLC_052	Pikeienuella sp.	Pikeienuella sp.	97.15	2.5	10428	3586985	0.67	3694	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pikeienuella;s__	0.94153	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pikeienuella	Birg_Half_DAS_BirgitHalves_bin.61
VLC_053	Lachnospirales sp.	Lachnospirales bacterium	97.08	2.09	109375	3047668	0.32	2801	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__;g__;s__	0.68845	Firmicutes_A	Clostridia	Lachnospirales			Birg_Half_DAS_BirgitHalves_maxbin.116
VLC_054	Dysgonomonas sp.	Dysgonomonas sp.	97.04	3.16	23472	3730927	0.38	3280	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__	0.95269	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonas	Tuerk_Half_DAS_TuerkHalves_bin.344_sub
VLC_055	Mangrovibacterium sp.	Mangrovibacterium sp.	97.02	2.94	21225	2890383	0.45	2546	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mangrovibacterium;s__	0.91536	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Mangrovibacterium	old_originals_METABAT__426-contigs
VLC_056	Campylobacteraceae sp.	Campylobacteraceae bacterium	96.93	1	19232	2030266	0.33	2190	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__;s__	0.77895	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae		Tuerk_Half_DAS_TuerkHalves_bin.9
VLC_057	Lactovum sp.	Lactovum sp.	96.9	0.11	25060	1560817	0.33	1571	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactovum;s__	0.96004	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactovum	Tuerk_Half_DAS_TuerkHalves_bin.311
VLC_058	Planctomycetaceae sp.	Planctomycetaceae bacterium	96.58	2.85	19309	6142505	0.61	5360	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__;s__	0.81292	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae		Tuerk_Half_DAS_TuerkHalves_bin.389_sub
VLC_059	Desulfopila sp.	Desulfopila sp.	96.58	2.05	50971	4746059	0.57	4014	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulfopila;s__	0.95362	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	old_originals_METABAT__238-contigs
VLC_060	Pseudomonas_A sp.	Pseudomonas sp.	96.53	2.31	53131	4122444	0.61	3852	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_A;s__	0.99553	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_A	old_originals_METABAT__361-contigs
VLC_061	UBA5962 sp.	Lachnospirales bacterium	96.51	0.16	75763	2481100	0.31	2311	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA5962;g__;s__	0.73695	Firmicutes_A	Clostridia	Lachnospirales	UBA5962		old_originals_METABAT__485-contigs
VLC_062	Vibrio sp.	Vibrio sp.	96.4	1.29	41067	4115181	0.43	3884	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__	0.99593	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	old_originals_METABAT__59-contigs
VLC_063	Brevilactibacter sp.	Brevilactibacter sp.	96.25	2.53	20774	2854989	0.68	2856	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brevilactibacter;s__	0.95549	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Brevilactibacter	Tuerk_Half_DAS_TuerkHalves_bin.121_sub
VLC_064	Brevilactibacter sp.	Brevilactibacter sp.	96.1	4.95	28859	3198868	0.65	3118	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Brevilactibacter;s__	0.95796	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Brevilactibacter	Tuerk_Half_DAS_TuerkHalves_bin.158
VLC_065	QQUY01 sp.	Pyrinomonadaceae bacterium	95.94	1.69	35292	3546989	0.43	3252	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__QQUY01;s__	0.92365	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	QQUY01	crabs_bin.339
VLC_066	Ruminococcaceae sp.	Ruminococcaceae bacterium	95.83	0.85	37667	3663147	0.57	3331	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	0.85353	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae		crabs_bin.213
VLC_067	JAAYCI01 sp.	Ruminococcaceae bacterium	95.78	5.24	8535	3222245	0.54	3222	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__	0.89166	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	JAAYCI01	old_originals_CRABS_nocov.29
VLC_068	Breznakia sp.	Breznakia sp.	95.7	0.27	67813	1819740	0.35	1829	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Breznakia;s__	0.90339	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Breznakia	Birg_Half_DAS_BirgitHalves_bin.86
VLC_069	Suipraeoptans sp.	Suipraeoptans sp.	95.62	1.47	31472	3642326	0.37	3495	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Suipraeoptans;s__	0.95377	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Suipraeoptans	Tuerk_Half_DAS_TuerkHalves_bin.171
VLC_070	Alphaproteobacteria sp.	Alphaproteobacteria bacterium	95.61	0.06	43768	1997652	0.39	1852	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__	0.53647	Proteobacteria	Alphaproteobacteria				Birg_Half_DAS_BirgitHalves_bin.70
VLC_071	Leucobacter sp.	Leucobacter sp.	95.26	6.4	33535	3809236	0.67	3484	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;s__	0.96722	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Leucobacter	Tuerk_Half_DAS_TuerkHalves_bin.417
VLC_072	Xiphinematobacteraceae sp.	Chthoniobacterales bacterium	95.23	0.96	14163	2449084	0.51	2477	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__;s__	0.74793	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae		Tuerk_Half_DAS_TuerkHalves_bin.250
VLC_073	Paracoccus sp.	Paracoccus sp.	95.17	5.12	23949	4882789	0.64	4906	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	0.98487	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	old_originals_METABAT__338-contigs
VLC_074	Anaerorhabdus sp.	Anaerorhabdus sp.	95.14	0.05	159192	1509366	0.3	1428	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__	0.89125	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Anaerorhabdus	Birg_Half_DAS_BirgitHalves_bin.72
VLC_075	Coprobacillaceae sp.	Coprobacillaceae bacterium	95.1	8.39	10294	3533362	0.3	3827	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	0.91122	Firmicutes	Bacilli	Erysipelotrichales	Coprobacillaceae		Tuerk_Half_DAS_TuerkHalves_bin.216
VLC_076	UBA660 sp.	Bacilli bacterium	94.94	1.57	28363	1416169	0.29	1500	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	0.7318	Firmicutes	Bacilli	RF39	UBA660		Tuerk_Half_DAS_TuerkHalves_bin.354
VLC_077	Paracoccus sp.	Paracoccus sp.	94.94	3.16	18158	3445273	0.62	3706	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	0.98273	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Tuerk_Half_DAS_TuerkHalves_bin.76
