Module step	Module	KO id	Module Category	BLB.whokaryote.bac Module step presence	BLBWG4.whokaryote.bac Module step presence	BLR.whokaryote.bac Module step presence	BLRWG4.whokaryote.bac Module step presence	BLS.whokaryote.bac Module step presence	DC06.whokaryote.bac Module step presence	DC10.whokaryote.bac Module step presence	DC11.whokaryote.bac Module step presence	DC17.whokaryote.bac Module step presence	DM13.whokaryote.bac Module step presence	DM14.whokaryote.bac Module step presence	DM15.whokaryote.bac Module step presence	DM16.whokaryote.bac Module step presence	GG01.whokaryote.bac Module step presence	GH01.whokaryote.bac Module step presence	GN13.whokaryote.bac Module step presence	GN15.whokaryote.bac Module step presence	GN18.whokaryote.bac Module step presence	GN19.whokaryote.bac Module step presence	Meg119.whokaryote.bac Module step presence	Meg120.whokaryote.bac Module step presence	Meg140.whokaryote.bac Module step presence	Meg147.whokaryote.bac Module step presence	Meg177.whokaryote.bac Module step presence	Meg178.whokaryote.bac Module step presence	Meg179.whokaryote.bac Module step presence	Meg209.whokaryote.bac Module step presence	Meg214.whokaryote.bac Module step presence	Meg82.whokaryote.bac Module step presence	Meg88.whokaryote.bac Module step presence	Meg99.whokaryote.bac Module step presence	OC01.whokaryote.bac Module step presence
M00002+5	Glycolysis, core module involving three-carbon compounds	K01689	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00002+6	Glycolysis, core module involving three-carbon compounds	(K00873,K12406)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00003+1	Gluconeogenesis, oxaloacetate => fructose-6P	(K01596,K01610)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00003+2	Gluconeogenesis, oxaloacetate => fructose-6P	K01689	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00003+3	Gluconeogenesis, oxaloacetate => fructose-6P	(K01834,K15633,K15634,K15635)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00003+4	Gluconeogenesis, oxaloacetate => fructose-6P	K00927	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00003+5	Gluconeogenesis, oxaloacetate => fructose-6P	(K00134,K00150)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Present	Present	Present	Absent	Present	Absent	Present	Absent	Absent
M00003+6	Gluconeogenesis, oxaloacetate => fructose-6P	K01803	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00003+7	Gluconeogenesis, oxaloacetate => fructose-6P	((K01623,K01624,K11645)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00003+8	Gluconeogenesis, oxaloacetate => fructose-6P	(K03841,K02446,K11532,K01086,K04041),K01622)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Present
M00004+1	Pentose phosphate pathway (Pentose phosphate cycle)	(K13937,((K00036,K19243)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
M00004+2	Pentose phosphate pathway (Pentose phosphate cycle)	(K01057,K07404)))	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00004+3	Pentose phosphate pathway (Pentose phosphate cycle)	K00033	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00004+4	Pentose phosphate pathway (Pentose phosphate cycle)	K01783	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00004+5	Pentose phosphate pathway (Pentose phosphate cycle)	(K01807,K01808)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00004+6	Pentose phosphate pathway (Pentose phosphate cycle)	K00615	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00004+7	Pentose phosphate pathway (Pentose phosphate cycle)	K00616	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00004+8	Pentose phosphate pathway (Pentose phosphate cycle)	(K01810,K06859,K13810,K15916)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00005+1	PRPP biosynthesis, ribose 5P => PRPP	K00948	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00006+1	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K13937,((K00036,K19243)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
M00006+2	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K01057,K07404)))	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00006+3	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	K00033	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00007+1	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00007+2	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	(K00616,K13810)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00007+3	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K01783	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00007+4	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	(K01807,K01808)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00008+1	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Absent	Absent
M00008+2	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	(K01057,K07404)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00008+3	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K01690	Central carbohydrate metabolism	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Absent	Present	Absent
M00008+4	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K01625	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Absent	Absent
M00009+1	Citrate cycle (TCA cycle, Krebs cycle)	(K01647,K05942)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00009+2	Citrate cycle (TCA cycle, Krebs cycle)	(K01681,K01682)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Absent	Absent
M00009+3	Citrate cycle (TCA cycle, Krebs cycle)	(K00031,K00030)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent
M00009+4	Citrate cycle (TCA cycle, Krebs cycle)	((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00009+5	Citrate cycle (TCA cycle, Krebs cycle)	(K01902+K01903,K01899+K01900,K18118)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00009+6	Citrate cycle (TCA cycle, Krebs cycle)	(K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00009+7	Citrate cycle (TCA cycle, Krebs cycle)	(K01676,K01679,K01677+K01678)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00009+8	Citrate cycle (TCA cycle, Krebs cycle)	(K00026,K00025,K00024,K00116)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Absent
M00010+1	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01647,K05942)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00010+2	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K01681,K01682)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Absent	Absent
M00010+3	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	(K00031,K00030)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent
M00011+1	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00011+2	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K01902+K01903,K01899+K01900,K18118)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00011+3	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Absent	Absent
M00011+4	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K01676,K01679,K01677+K01678)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Present	Present	Absent	Present	Present	Absent
M00011+5	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	(K00026,K00025,K00024,K00116)	Central carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Absent
M00012+1	Glyoxylate cycle	K01647	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Present	Absent	Present	Present	Absent
M00012+2	Glyoxylate cycle	(K01681,K01682)	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Present	Absent	Present	Absent	Absent
M00012+3	Glyoxylate cycle	K01637	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent
M00012+4	Glyoxylate cycle	(K01638,K19282)	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Absent	Present	Present	Absent	Present	Absent	Absent
M00012+5	Glyoxylate cycle	(K00026,K00025,K00024)	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Absent
M00013+1	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K00248,K00232)	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Absent	Absent	Present	Absent	Absent
M00013+2	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	(K07511,K14729)	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013+3	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K05605	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013+4	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K23146	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00013+5	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	K00140	Other carbohydrate metabolism	Present	Present	Present	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent	Present	Absent	Absent	Absent	Absent
M00014+1	Glucuronate pathway (uronate pathway)	K00012	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Present	Absent	Present	Absent	Present	Absent	Present	Present	Absent
M00014+10	Glucuronate pathway (uronate pathway)	K00854	Other carbohydrate metabolism	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent
M00014+2	Glucuronate pathway (uronate pathway)	((K12447	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+3	Glucuronate pathway (uronate pathway)	K16190),(K00699	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+4	Glucuronate pathway (uronate pathway)	(K01195,K14756)))	Other carbohydrate metabolism	Absent	Present	Absent	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Present	Absent	Absent	Absent	Present	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Present	Absent	Absent
M00014+5	Glucuronate pathway (uronate pathway)	K00002	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+6	Glucuronate pathway (uronate pathway)	K13247	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
M00014+7	Glucuronate pathway (uronate pathway)	--	Other carbohydrate metabolism	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
